ID_VIV,ID_HOG,ID_PER,ID_DEL,UPM,VIV_SEL,HOGAR,BPCOD,R_SEL,SEXO,EDAD,AREAM_OCU,BP1_1,BP1_2C,FAC_DEL,FAC_DEL_AM
1505683.03,1505683.03.01,1505683.03.01.02,1505683.03.01.02.11.1,1505683,3,1,11,2,2,30,1,6,15,2731,2731
1506387.04,1506387.04.01,1506387.04.01.01,1506387.04.01.01.07.1,1506387,4,1,7,1,1,35,1,9,15,2836,2836
1504119.01,1504119.01.01,1504119.01.01.02,1504119.01.01.02.05.1,1504119,1,1,5,2,2,62,1,12,15,4999,4999
1513999.05,1513999.05.01,1513999.05.01.02,1513999.05.01.02.07.1,1513999,5,1,7,2,1,30,1,12,15,4105,4105
1300642.02,1300642.02.01,1300642.02.01.01,1300642.02.01.01.01.1,1300642,2,1,1,1,1,35,1,6,15,414,414
1507232.04,1507232.04.01,1507232.04.01.02,1507232.04.01.02.05.1,1507232,4,1,5,2,1,34,1,11,15,3203,3203
1506592.02,1506592.02.01,1506592.02.01.01,1506592.02.01.01.06.1,1506592,2,1,6,1,2,66,1,11,15,1836,1836
908764.01,0908764.01.01,0908764.01.01.02,0908764.01.01.02.05.1,908764,1,1,5,2,2,28,1,2,15,889,889
1302977.03,1302977.03.01,1302977.03.01.01,1302977.03.01.01.05.2,1302977,3,1,5,1,1,58,1,11,15,1082,1082
2161581.08,2161581.08.01,2161581.08.01.02,2161581.08.01.02.10.1,2161581,8,1,10,2,1,24,1,10,15,1116,1116
